Loan_ID,,Customer ID,,ApplicantIncome,,CoapplicantIncome,,Property_Area,,Loan_Status,,,,,,,,,,,
LP001664,"('LP001664',",IP43195,"LP43195',",4191,"4191,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001665,"('LP001665',",IP43196,"LP43196',",3125,"3125,",2583,"2583,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001666,"('LP001666',",IP43197,"LP43197',",8333,"8333,",3750,"3750,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001669,"('LP001669',",IP43198,"LP43198',",1907,"1907,",2365,"2365,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001671,"('LP001671',",IP43199,"LP43199',",3416,"3416,",2816,"2816,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001673,"('LP001673',",IP43200,"LP43200',",11000,"11000,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001674,"('LP001674',",IP43201,"LP43201',",2600,"2600,",2500,"2500,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001677,"('LP001677',",IP43202,"LP43202',",4923,"4923,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001682,"('LP001682',",IP43203,"LP43203',",3992,"3992,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001688,"('LP001688',",IP43204,"LP43204',",3500,"3500,",1083,"1083,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001691,"('LP001691',",IP43205,"LP43205',",3917,"3917,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001692,"('LP001692',",IP43206,"LP43206',",4408,"4408,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001693,"('LP001693',",IP43207,"LP43207',",3244,"3244,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001698,"('LP001698',",IP43208,"LP43208',",3975,"3975,",2531,"2531,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001699,"('LP001699',",IP43209,"LP43209',",2479,"2479,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001702,"('LP001702',",IP43210,"LP43210',",3418,"3418,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001708,"('LP001708',",IP43211,"LP43211',",10000,"10000,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001711,"('LP001711',",IP43212,"LP43212',",3430,"3430,",1250,"1250,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001713,"('LP001713',",IP43213,"LP43213',",7787,"7787,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001715,"('LP001715',",IP43214,"LP43214',",5703,"5703,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001716,"('LP001716',",IP43215,"LP43215',",3173,"3173,",3021,"3021,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001720,"('LP001720',",IP43216,"LP43216',",3850,"3850,",983,"983,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001722,"('LP001722',",IP43217,"LP43217',",150,"150,",1800,"1800,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001726,"('LP001726',",IP43218,"LP43218',",3727,"3727,",1775,"1775,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001732,"('LP001732',",IP43219,"LP43219',",5000,"5000,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001734,"('LP001734',",IP43220,"LP43220',",4283,"4283,",2383,"2383,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001736,"('LP001736',",IP43221,"LP43221',",2221,"2221,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001743,"('LP001743',",IP43222,"LP43222',",4009,"4009,",1717,"1717,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001744,"('LP001744',",IP43223,"LP43223',",2971,"2971,",2791,"2791,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001749,"('LP001749',",IP43224,"LP43224',",7578,"7578,",1010,"1010,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001750,"('LP001750',",IP43225,"LP43225',",6250,"6250,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001751,"('LP001751',",IP43226,"LP43226',",3250,"3250,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001754,"('LP001754',",IP43227,"LP43227',",4735,"4735,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001758,"('LP001758',",IP43228,"LP43228',",6250,"6250,",1695,"1695,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001760,"('LP001760',",IP43229,"LP43229',",4758,"4758,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001761,"('LP001761',",IP43230,"LP43230',",6400,"6400,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001765,"('LP001765',",IP43231,"LP43231',",2491,"2491,",2054,"2054,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001768,"('LP001768',",IP43232,"LP43232',",3716,"3716,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001770,"('LP001770',",IP43233,"LP43233',",3189,"3189,",2598,"2598,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001776,"('LP001776',",IP43234,"LP43234',",8333,"8333,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001778,"('LP001778',",IP43235,"LP43235',",3155,"3155,",1779,"1779,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001784,"('LP001784',",IP43236,"LP43236',",5500,"5500,",1260,"1260,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001786,"('LP001786',",IP43237,"LP43237',",5746,"5746,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001788,"('LP001788',",IP43238,"LP43238',",3463,"3463,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001790,"('LP001790',",IP43239,"LP43239',",3812,"3812,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001792,"('LP001792',",IP43240,"LP43240',",3315,"3315,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001798,"('LP001798',",IP43241,"LP43241',",5819,"5819,",5000,"5000,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001800,"('LP001800',",IP43242,"LP43242',",2510,"2510,",1983,"1983,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001806,"('LP001806',",IP43243,"LP43243',",2965,"2965,",5701,"5701,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001807,"('LP001807',",IP43244,"LP43244',",6250,"6250,",1300,"1300,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001811,"('LP001811',",IP43245,"LP43245',",3406,"3406,",4417,"4417,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001813,"('LP001813',",IP43246,"LP43246',",6050,"6050,",4333,"4333,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001814,"('LP001814',",IP43247,"LP43247',",9703,"9703,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001819,"('LP001819',",IP43248,"LP43248',",6608,"6608,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001824,"('LP001824',",IP43249,"LP43249',",2882,"2882,",1843,"1843,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001825,"('LP001825',",IP43250,"LP43250',",1809,"1809,",1868,"1868,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001835,"('LP001835',",IP43251,"LP43251',",1668,"1668,",3890,"3890,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001836,"('LP001836',",IP43252,"LP43252',",3427,"3427,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001841,"('LP001841',",IP43253,"LP43253',",2583,"2583,",2167,"2167,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001843,"('LP001843',",IP43254,"LP43254',",2661,"2661,",7101,"7101,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001844,"('LP001844',",IP43255,"LP43255',",16250,"16250,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001846,"('LP001846',",IP43256,"LP43256',",3083,"3083,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001849,"('LP001849',",IP43257,"LP43257',",6045,"6045,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001854,"('LP001854',",IP43258,"LP43258',",5250,"5250,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001859,"('LP001859',",IP43259,"LP43259',",14683,"14683,",2100,"2100,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001864,"('LP001864',",IP43260,"LP43260',",4931,"4931,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001865,"('LP001865',",IP43261,"LP43261',",6083,"6083,",4250,"4250,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001868,"('LP001868',",IP43262,"LP43262',",2060,"2060,",2209,"2209,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001870,"('LP001870',",IP43263,"LP43263',",3481,"3481,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001871,"('LP001871',",IP43264,"LP43264',",7200,"7200,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001872,"('LP001872',",IP43265,"LP43265',",5166,"5166,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001875,"('LP001875',",IP43266,"LP43266',",4095,"4095,",3447,"3447,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001877,"('LP001877',",IP43267,"LP43267',",4708,"4708,",1387,"1387,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001882,"('LP001882',",IP43268,"LP43268',",4333,"4333,",1811,"1811,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001883,"('LP001883',",IP43269,"LP43269',",3418,"3418,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001884,"('LP001884',",IP43270,"LP43270',",2876,"2876,",1560,"1560,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001888,"('LP001888',",IP43271,"LP43271',",3237,"3237,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001891,"('LP001891',",IP43272,"LP43272',",11146,"11146,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001892,"('LP001892',",IP43273,"LP43273',",2833,"2833,",1857,"1857,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001894,"('LP001894',",IP43274,"LP43274',",2620,"2620,",2223,"2223,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001896,"('LP001896',",IP43275,"LP43275',",3900,"3900,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001900,"('LP001900',",IP43276,"LP43276',",2750,"2750,",1842,"1842,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001903,"('LP001903',",IP43277,"LP43277',",3993,"3993,",3274,"3274,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001904,"('LP001904',",IP43278,"LP43278',",3103,"3103,",1300,"1300,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001907,"('LP001907',",IP43279,"LP43279',",14583,"14583,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001908,"('LP001908',",IP43280,"LP43280',",4100,"4100,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001910,"('LP001910',",IP43281,"LP43281',",4053,"4053,",2426,"2426,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001914,"('LP001914',",IP43282,"LP43282',",3927,"3927,",800,"800,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001915,"('LP001915',",IP43283,"LP43283',",2301,"2301,",985.7999878,"985.7999878,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001917,"('LP001917',",IP43284,"LP43284',",1811,"1811,",1666,"1666,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001922,"('LP001922',",IP43285,"LP43285',",20667,"20667,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001924,"('LP001924',",IP43286,"LP43286',",3158,"3158,",3053,"3053,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001925,"('LP001925',",IP43287,"LP43287',",2600,"2600,",1717,"1717,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001926,"('LP001926',",IP43288,"LP43288',",3704,"3704,",2000,"2000,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001931,"('LP001931',",IP43289,"LP43289',",4124,"4124,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001935,"('LP001935',",IP43290,"LP43290',",9508,"9508,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001936,"('LP001936',",IP43291,"LP43291',",3075,"3075,",2416,"2416,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001938,"('LP001938',",IP43292,"LP43292',",4400,"4400,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001940,"('LP001940',",IP43293,"LP43293',",3153,"3153,",1560,"1560,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001945,"('LP001945',",IP43294,"LP43294',",5417,"5417,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001947,"('LP001947',",IP43295,"LP43295',",2383,"2383,",3334,"3334,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001949,"('LP001949',",IP43296,"LP43296',",4416,"4416,",1250,"1250,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001953,"('LP001953',",IP43297,"LP43297',",6875,"6875,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001954,"('LP001954',",IP43298,"LP43298',",4666,"4666,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001955,"('LP001955',",IP43299,"LP43299',",5000,"5000,",2541,"2541,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001963,"('LP001963',",IP43300,"LP43300',",2014,"2014,",2925,"2925,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001964,"('LP001964',",IP43301,"LP43301',",1800,"1800,",2934,"2934,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001972,"('LP001972',",IP43302,"LP43302',",2875,"2875,",1750,"1750,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001974,"('LP001974',",IP43303,"LP43303',",5000,"5000,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001977,"('LP001977',",IP43304,"LP43304',",1625,"1625,",1803,"1803,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001978,"('LP001978',",IP43305,"LP43305',",4000,"4000,",2500,"2500,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001990,"('LP001990',",IP43306,"LP43306',",2000,"2000,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001993,"('LP001993',",IP43307,"LP43307',",3762,"3762,",1666,"1666,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP001994,"('LP001994',",IP43308,"LP43308',",2400,"2400,",1863,"1863,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001996,"('LP001996',",IP43309,"LP43309',",20233,"20233,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001998,"('LP001998',",IP43310,"LP43310',",7667,"7667,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002002,"('LP002002',",IP43311,"LP43311',",2917,"2917,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002004,"('LP002004',",IP43312,"LP43312',",2927,"2927,",2405,"2405,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002006,"('LP002006',",IP43313,"LP43313',",2507,"2507,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002008,"('LP002008',",IP43314,"LP43314',",5746,"5746,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002024,"('LP002024',",IP43315,"LP43315',",2473,"2473,",1843,"1843,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002031,"('LP002031',",IP43316,"LP43316',",3399,"3399,",1640,"1640,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002035,"('LP002035',",IP43317,"LP43317',",3717,"3717,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002036,"('LP002036',",IP43318,"LP43318',",2058,"2058,",2134,"2134,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002043,"('LP002043',",IP43319,"LP43319',",3541,"3541,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002050,"('LP002050',",IP43320,"LP43320',",10000,"10000,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002051,"('LP002051',",IP43321,"LP43321',",2400,"2400,",2167,"2167,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002053,"('LP002053',",IP43322,"LP43322',",4342,"4342,",189,"189,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002054,"('LP002054',",IP43323,"LP43323',",3601,"3601,",1590,"1590,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002055,"('LP002055',",IP43324,"LP43324',",3166,"3166,",2985,"2985,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002065,"('LP002065',",IP43325,"LP43325',",15000,"15000,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002067,"('LP002067',",IP43326,"LP43326',",8666,"8666,",4983,"4983,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002068,"('LP002068',",IP43327,"LP43327',",4917,"4917,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002082,"('LP002082',",IP43328,"LP43328',",5818,"5818,",2160,"2160,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002086,"('LP002086',",IP43329,"LP43329',",4333,"4333,",2451,"2451,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP002087,"('LP002087',",IP43330,"LP43330',",2500,"2500,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002097,"('LP002097',",IP43331,"LP43331',",4384,"4384,",1793,"1793,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002098,"('LP002098',",IP43332,"LP43332',",2935,"2935,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002100,"('LP002100',",IP43333,"LP43333',",2833,"2833,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002101,"('LP002101',",IP43334,"LP43334',",63337,"63337,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002103,"('LP002103',",IP43335,"LP43335',",9833,"9833,",1833,"1833,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002106,"('LP002106',",IP43336,"LP43336',",5503,"5503,",4490,"4490,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002110,"('LP002110',",IP43337,"LP43337',",5250,"5250,",688,"688,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002112,"('LP002112',",IP43338,"LP43338',",2500,"2500,",4600,"4600,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002113,"('LP002113',",IP43339,"LP43339',",1830,"1830,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP002114,"('LP002114',",IP43340,"LP43340',",4160,"4160,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002115,"('LP002115',",IP43341,"LP43341',",2647,"2647,",1587,"1587,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002116,"('LP002116',",IP43342,"LP43342',",2378,"2378,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002119,"('LP002119',",IP43343,"LP43343',",4554,"4554,",1229,"1229,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002126,"('LP002126',",IP43344,"LP43344',",3173,"3173,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002128,"('LP002128',",IP43345,"LP43345',",2583,"2583,",2330,"2330,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002129,"('LP002129',",IP43346,"LP43346',",2499,"2499,",2458,"2458,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002130,"('LP002130',",IP43347,"LP43347',",3523,"3523,",3230,"3230,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002131,"('LP002131',",IP43348,"LP43348',",3083,"3083,",2168,"2168,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002137,"('LP002137',",IP43349,"LP43349',",6333,"6333,",4583,"4583,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002138,"('LP002138',",IP43350,"LP43350',",2625,"2625,",6250,"6250,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002139,"('LP002139',",IP43351,"LP43351',",9083,"9083,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002140,"('LP002140',",IP43352,"LP43352',",8750,"8750,",4167,"4167,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002141,"('LP002141',",IP43353,"LP43353',",2666,"2666,",2083,"2083,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002142,"('LP002142',",IP43354,"LP43354',",5500,"5500,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002143,"('LP002143',",IP43355,"LP43355',",2423,"2423,",505,"505,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002144,"('LP002144',",IP43356,"LP43356',",3813,"3813,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002149,"('LP002149',",IP43357,"LP43357',",8333,"8333,",3167,"3167,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002151,"('LP002151',",IP43358,"LP43358',",3875,"3875,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP002158,"('LP002158',",IP43359,"LP43359',",3000,"3000,",1666,"1666,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP002160,"('LP002160',",IP43360,"LP43360',",5167,"5167,",3167,"3167,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002161,"('LP002161',",IP43361,"LP43361',",4723,"4723,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP002170,"('LP002170',",IP43362,"LP43362',",5000,"5000,",3667,"3667,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002175,"('LP002175',",IP43363,"LP43363',",4750,"4750,",2333,"2333,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002178,"('LP002178',",IP43364,"LP43364',",3013,"3013,",3033,"3033,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002180,"('LP002180',",IP43365,"LP43365',",6822,"6822,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002181,"('LP002181',",IP43366,"LP43366',",6216,"6216,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002187,"('LP002187',",IP43367,"LP43367',",2500,"2500,",0,"0,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP002188,"('LP002188',",IP43368,"LP43368',",5124,"5124,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002190,"('LP002190',",IP43369,"LP43369',",6325,"6325,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002191,"('LP002191',",IP43370,"LP43370',",19730,"19730,",5266,"5266,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP002194,"('LP002194',",IP43371,"LP43371',",15759,"15759,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002197,"('LP002197',",IP43372,"LP43372',",5185,"5185,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002201,"('LP002201',",IP43373,"LP43373',",9323,"9323,",7873,"7873,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002205,"('LP002205',",IP43374,"LP43374',",3062,"3062,",1987,"1987,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP002209,"('LP002209',",IP43375,"LP43375',",2764,"2764,",1459,"1459,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002211,"('LP002211',",IP43376,"LP43376',",4817,"4817,",923,"923,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002219,"('LP002219',",IP43377,"LP43377',",8750,"8750,",4996,"4996,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002223,"('LP002223',",IP43378,"LP43378',",4310,"4310,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002224,"('LP002224',",IP43379,"LP43379',",3069,"3069,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP002225,"('LP002225',",IP43380,"LP43380',",5391,"5391,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002226,"('LP002226',",IP43381,"LP43381',",3333,"3333,",2500,"2500,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002229,"('LP002229',",IP43382,"LP43382',",5941,"5941,",4232,"4232,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002231,"('LP002231',",IP43383,"LP43383',",6000,"6000,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002234,"('LP002234',",IP43384,"LP43384',",7167,"7167,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002236,"('LP002236',",IP43385,"LP43385',",4566,"4566,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP002237,"('LP002237',",IP43386,"LP43386',",3667,"3667,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002239,"('LP002239',",IP43387,"LP43387',",2346,"2346,",1600,"1600,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002243,"('LP002243',",IP43388,"LP43388',",3010,"3010,",3136,"3136,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP002244,"('LP002244',",IP43389,"LP43389',",2333,"2333,",2417,"2417,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002250,"('LP002250',",IP43390,"LP43390',",5488,"5488,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002255,"('LP002255',",IP43391,"LP43391',",9167,"9167,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002262,"('LP002262',",IP43392,"LP43392',",9504,"9504,",0,"0,",Rural,"rural',",Y,"Y'),",,,,,,,,,,
LP002263,"('LP002263',",IP43393,"LP43393',",2583,"2583,",2115,"2115,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002265,"('LP002265',",IP43394,"LP43394',",1993,"1993,",1625,"1625,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP002266,"('LP002266',",IP43395,"LP43395',",3100,"3100,",1400,"1400,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP002272,"('LP002272',",IP43396,"LP43396',",3276,"3276,",484,"484,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
